J1902-5105 345.624 -22.3869 2.14688e-11 1.16168e-12 36.25 * *
J1902-70 324.372 -26.5114 1.19707e-11 2.20208e-12 19.50 * *
J1909+21 53.6663 5.76265 3.89685e-12 4.38185e-13 62.00 * *
J1921+0137 37.7787 -5.88442 1.59225e-11 1.91607e-12 104.9 * *
J1939+2134 57.51 -0.29 9.18e-12 3.32e-12 71.02 0.22 0.08
J1946-5403 343.888 -29.563 1.12942e-11 9.23261e-13 23.70 * *
J1959+2048 59.1867 -4.69254 1.79074e-11 1.54242e-12 29.12 * *
J2017+0603 48.6207 -16.0321 3.49719e-11 1.69244e-12 23.92 0.4 0.3
J2017-1614 27.2754 -26.2167 1.03995e-11 1.20053e-12 25.4380 * *
J2042+0246 49.0086 -22.9964 3.60651e-12 5.50943e-13 9.2694 * *
J2043+1711 61.9007 -15.3013 3.02245e-11 1.40918e-12 20.71 0.8 0.2
J2047+1053 57.0638 -19.6488 3.56083e-12 5.82249e-13 34.60 * *
J2051-0827 39.1966 -30.4614 3.17523e-12 5.24469e-13 20.73 * *
J2052+1218 59.1128 -20.0038 6.53031e-12 1.03585e-12 42.00 * *
J2124-3358 10.9358 -45.4462 3.93969e-11 1.38722e-12 4.60 2.4 0.4
J2129-0429 48.9158 -36.9045 1.04982e-11 1.05816e-12 16.90 * *
J2205+6015 103.743 3.75536 7.50416e-12 1.52115e-12 157.6 * *
J2214+3000 86.8539 -21.6665 3.3002e-11 1.23655e-12 22.55 1.7 0.9
J2215+5135 99.8721 -4.18111 1.37465e-11 1.14293e-12 69.20 * *
J2234+0944 76.3055 -40.4397 8.27963e-12 1.01376e-12 17.8 * *
J2241-5236 337.443 -54.9163 3.09727e-11 1.21831e-12 11.41 * *
J2256-1024 59.2175 -58.2364 7.66037e-12 7.82976e-13 13.80 * *
J2302+4442 103.395 -13.9866 3.81011e-11 1.39589e-12 13.73 * *
J2310-0555 69.6948 -57.9387 3.48109e-12 5.62005e-13 15.5139 * *
J2339-0533 81.3325 -62.4712 3.00559e-11 1.38958e-12 8.72 * *
J0039.3+6256 121.55667 0.10212196 9.1093235e-12 1.1433097e-12 * * *
J0212.1+5320 134.92665 -7.645654 1.714452e-11 1.5619741e-12 * * *
J0238.0+5237 138.84839 -6.9210315 1.160317e-11 1.2097278e-12 * * *
J0312.1-0921 191.51463 -52.361996 5.231698e-12 8.4175174e-13 * * *
J0318.1+0252 178.44518 -43.635 5.712056e-12 7.4047783e-13 * * *
J0336.1+7500 133.10916 15.503392 9.966809e-12 1.0395291e-12 * * *
J0401.4+2109 171.43124 -23.333141 6.2698674e-12 1.0890521e-12 * * *
J0523.3-2528 228.20206 -29.826363 1.9914143e-11 1.243317e-12 * * *
J0545.6+6019 152.49638 15.749342 7.8695115e-12 9.518262e-13 * * *
J0737.2-3233 246.84183 -5.533374 1.38278035e-11 1.5191596e-12 * * *
J0744.1-2523 241.33928 -0.6988146 2.3856441e-11 1.7796003e-12 * * *
J0802.3-5610 269.93082 -13.175504 1.3005321e-11 1.1785486e-12 * * *
J0933.9-6232 282.23508 -7.8936515 1.2268258e-11 1.0579193e-12 * * *
J0953.7-1510 251.938 29.605461 5.852538e-12 7.079537e-13 * * *
J0954.8-3948 269.84448 11.457521 1.8291757e-11 1.226872e-12 * * *
